round	path	sha256	classification	note
14	rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/ROUND13_SHA256.txt	05d4c578bbea15303ef451b63cebb8f7342a03e8d327a8adf3808616e00a2033	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
14	rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/round13_replay_receipt.json	709d51223f3c1ca825b74d28335d911013427b245f306ec4fb39581ef36cc6c4	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
14	rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/round13_rank_sieve.json	a479a808d41dd115ae6914a792ab946619a9ac3d4fb1ba896e71b18d49bf35af	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
14	rounds/B699-D-i3-round14-rank-exponent-antichain-20260922/sources/OVERVIEW-2026-09-22.md.txt	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	user_supplied_shared_navigation_snapshot	原轮次包内已附输入快照，不计为本会话新研究轮次；未另外加入 Project 导航原件。
15	rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/OVERVIEW-2026-09-22.md.txt	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	user_supplied_shared_navigation_snapshot	原轮次包内已附输入快照，不计为本会话新研究轮次；未另外加入 Project 导航原件。
15	rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/ROUND14_SHA256.txt	07d597a6e42d3cf89ee946457a741f95c428714511877a8bc0f37b813fb029cb	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
15	rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/CORVAJA_ZANNIER_INTERFACE.json	a4b301ad21d56f0a044c85481ed9083a23a8886795048a2d45f15f79991a6f1a	source_adoption_metadata_or_theorem_interface	随本轮原证据包保存的来源说明/接口/注册表，未在本次归档补充外部材料。
15	rounds/B699-D-i3-round15-cz-gcd-finiteness-20260922/sources/round14_rank_exponent.json	9d06660c6fea5c721ff83d42885c41b36623e1e47f88f276c1849b8edb255bbc	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
16	rounds/B699-D-i3-round16-matveev-effective-bridge-20260922/sources/source_hashes.txt	5d42b36f45e1af99994bded19921522ef4e891e76cb5f6ccf72a904495d35d85	source_adoption_metadata_or_theorem_interface	随本轮原证据包保存的来源说明/接口/注册表，未在本次归档补充外部材料。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND16_HANDOFF.md	d9b984d20a96a3b6be5c13ef5c18fe137fb027c2078efd407d059c2a8e9dc71b	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND14_PROOFS.md	69f20e11a2a83e45d01c210c2d7c36a025d7e54e37f7f79d1e21c723565508c3	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND14_HANDOFF.md	12904dff8c8128e0bf97caf677afaea3d1ee088d9121e1a2ebaab24e7fe054f0	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND16_FAILURES.md	b320fcfa8aff812a07d56c54c94c189c811de95f4da19cbbac443e2a51eb6e4f	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND16_REPORT.md	958aa64a67fb5f9ee26bb0c0df04081b1a03ea5b4e2cf97d83c3f6d50ac5fd6e	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND16_PROOFS.md	6092555c5ec30cc25b7c99a902607ecc26824987fef33c1c63a94c38d725cd1e	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/OVERVIEW-2026-09-22.md.txt	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	user_supplied_shared_navigation_snapshot	原轮次包内已附输入快照，不计为本会话新研究轮次；未另外加入 Project 导航原件。
17	rounds/B699-D-i3-round17-high-layer-rank-gap-20260922/sources/ROUND16.zip.sha256	bad275a4b6ddbe9068c4b407de6ea1db68de913658615c868995a819b755af00	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND17_PROOFS.md	13c8f0506b5f6d1f40af3ccc76352a30585ca716a46787a4d30ad60c75b61c89	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND16.zip.sha256	0725e1157c4c5d7b7eb42d1eaf3be046d333673dc1903cdbb8163982c8d965d4	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/OVERVIEW-2026-09-22.md.txt	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	user_supplied_shared_navigation_snapshot	原轮次包内已附输入快照，不计为本会话新研究轮次；未另外加入 Project 导航原件。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND17_REPORT.md	e6c4066969b38f9a44911934df7e08b21ccef5bba0fedd3cbbcd705694979a9a	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND17_HANDOFF.md	29b1a4c361a10df745fe5a4f4a785006e969741fe102ddd5c2c0856ce435fc2d	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND16_REPORT.md	958aa64a67fb5f9ee26bb0c0df04081b1a03ea5b4e2cf97d83c3f6d50ac5fd6e	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND17.zip.sha256	124990b0031891e5033501288656f0c07ff00be3600921cc32ca25ce65583fb9	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND16_HANDOFF.md	d9b984d20a96a3b6be5c13ef5c18fe137fb027c2078efd407d059c2a8e9dc71b	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND16_PROOFS.md	6092555c5ec30cc25b7c99a902607ecc26824987fef33c1c63a94c38d725cd1e	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND14_PROOFS.md	69f20e11a2a83e45d01c210c2d7c36a025d7e54e37f7f79d1e21c723565508c3	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
18	rounds/B699-D-i3-round18-pure-two-closure-20260922/sources/ROUND17_FRONTIER.json	f83c0211d5108dbbf0ef43f94b396410322492dcf5d7982f4ebcf299b4a4b2b2	earlier_round_in_this_session_or_its_source_record	本会话前轮快照或其哈希/证书采纳记录，保留版本而不替换。
19	rounds/B699-D-i3-round19-odd-endpoint-polyheight-20260922/sources/OVERVIEW-2026-09-22.md.txt	4ad5a387242d834c57d08cebf011ed82507bd5f9bf661589a323f98b480c56c5	user_supplied_shared_navigation_snapshot	原轮次包内已附输入快照，不计为本会话新研究轮次；未另外加入 Project 导航原件。
